sport,ownership,observable_eligibility,message_hypothesis,lead_action,success,kill_rule
F1,"Never paid / lapsed, ATP uncovered",Verified entitlement + explicit or observed tennis interest + usable time,"Rivalry and championship story, outside selected race coverage","Separate first-ever and reactivated users. Cheapest covering entry offer, no automatic annual push.",Incremental new payer,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
F1,"Active payer, ATP uncovered",Verified entitlement + explicit or observed tennis interest + usable time,"Rivalry and championship story, outside selected race coverage","Incremental coverage for chosen basket. Compare tournament, season and portfolio options.",Portfolio contribution from additional coverage,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
F1,ATP already covered,Verified entitlement + explicit or observed tennis interest + usable time,"Rivalry and championship story, outside selected race coverage","Suppress redundant sale. Surface included live/replay occasion, evaluate renewal contribution.",Incremental renewal contribution,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
Football,"Never paid / lapsed, ATP uncovered",Verified entitlement + explicit or observed tennis interest + usable time,"Specific club or competition break, concise tennis matchup introduction","Separate first-ever and reactivated users. Cheapest covering entry offer, no automatic annual push.",Incremental new payer,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
Football,"Active payer, ATP uncovered",Verified entitlement + explicit or observed tennis interest + usable time,"Specific club or competition break, concise tennis matchup introduction","Incremental coverage for chosen basket. Compare tournament, season and portfolio options.",Portfolio contribution from additional coverage,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
Football,ATP already covered,Verified entitlement + explicit or observed tennis interest + usable time,"Specific club or competition break, concise tennis matchup introduction","Suppress redundant sale. Surface included live/replay occasion, evaluate renewal contribution.",Incremental renewal contribution,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
MotoGP,"Never paid / lapsed, ATP uncovered",Verified entitlement + explicit or observed tennis interest + usable time,"Player rivalry and season progression, outside selected race coverage","Separate first-ever and reactivated users. Cheapest covering entry offer, no automatic annual push.",Incremental new payer,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
MotoGP,"Active payer, ATP uncovered",Verified entitlement + explicit or observed tennis interest + usable time,"Player rivalry and season progression, outside selected race coverage","Incremental coverage for chosen basket. Compare tournament, season and portfolio options.",Portfolio contribution from additional coverage,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
MotoGP,ATP already covered,Verified entitlement + explicit or observed tennis interest + usable time,"Player rivalry and season progression, outside selected race coverage","Suppress redundant sale. Surface included live/replay occasion, evaluate renewal contribution.",Incremental renewal contribution,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
Tennis-first comparator,"Never paid / lapsed, ATP uncovered",Verified entitlement + explicit or observed tennis interest + usable time,Confirmed player/event intent and clear timing,"Separate first-ever and reactivated users. Cheapest covering entry offer, no automatic annual push.",Incremental new payer,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
Tennis-first comparator,"Active payer, ATP uncovered",Verified entitlement + explicit or observed tennis interest + usable time,Confirmed player/event intent and clear timing,"Incremental coverage for chosen basket. Compare tournament, season and portfolio options.",Portfolio contribution from additional coverage,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
Tennis-first comparator,ATP already covered,Verified entitlement + explicit or observed tennis interest + usable time,Confirmed player/event intent and clear timing,"Suppress redundant sale. Surface included live/replay occasion, evaluate renewal contribution.",Incremental renewal contribution,"No positive incremental portfolio contribution, insufficient relevant reach, or playback/refund harm"
