basket,event,date,sport,interpretation
One tennis event,Chengdu,2026-09-29,ATP,"Scenario intention, source-dated event occasion"
Two tennis events within 30d,Tokyo,2026-10-06,ATP,"Scenario intention, source-dated event occasion"
Two tennis events within 30d,Shanghai,2026-10-18,ATP,"Scenario intention, source-dated event occasion"
Late-season tennis six,Chengdu,2026-09-29,ATP,"Scenario intention, source-dated event occasion"
Late-season tennis six,Tokyo,2026-10-06,ATP,"Scenario intention, source-dated event occasion"
Late-season tennis six,Shanghai,2026-10-18,ATP,"Scenario intention, source-dated event occasion"
Late-season tennis six,Basel,2026-11-01,ATP,"Scenario intention, source-dated event occasion"
Late-season tennis six,Paris,2026-11-08,ATP,"Scenario intention, source-dated event occasion"
Late-season tennis six,Nitto,2026-11-22,ATP,"Scenario intention, source-dated event occasion"
Tennis plus two race weekends,Chengdu,2026-09-29,ATP,"Scenario intention, source-dated event occasion"
Tennis plus two race weekends,Tokyo,2026-10-06,ATP,"Scenario intention, source-dated event occasion"
Tennis plus two race weekends,Shanghai,2026-10-18,ATP,"Scenario intention, source-dated event occasion"
Tennis plus two race weekends,Azerbaijan Grand Prix,2026-09-26,F1,"Scenario intention, source-dated event occasion"
Tennis plus two race weekends,Bahrain Grand Prix in Malaysia,2026-10-04,F1,"Scenario intention, source-dated event occasion"
Portfolio to season end,Chengdu,2026-09-29,ATP,"Scenario intention, source-dated event occasion"
Portfolio to season end,Tokyo,2026-10-06,ATP,"Scenario intention, source-dated event occasion"
Portfolio to season end,Shanghai,2026-10-18,ATP,"Scenario intention, source-dated event occasion"
Portfolio to season end,Basel,2026-11-01,ATP,"Scenario intention, source-dated event occasion"
Portfolio to season end,Paris,2026-11-08,ATP,"Scenario intention, source-dated event occasion"
Portfolio to season end,Nitto,2026-11-22,ATP,"Scenario intention, source-dated event occasion"
Portfolio to season end,Azerbaijan Grand Prix,2026-09-26,F1,"Scenario intention, source-dated event occasion"
Portfolio to season end,Bahrain Grand Prix in Malaysia,2026-10-04,F1,"Scenario intention, source-dated event occasion"
Portfolio to season end,Singapore Grand Prix,2026-10-11,F1,"Scenario intention, source-dated event occasion"
Portfolio to season end,United States Grand Prix,2026-10-26,F1,"Scenario intention, source-dated event occasion"
Portfolio to season end,Mexico City Grand Prix,2026-11-02,F1,"Scenario intention, source-dated event occasion"
Portfolio to season end,Brazilian Grand Prix,2026-11-08,F1,"Scenario intention, source-dated event occasion"
Portfolio to season end,Las Vegas Grand Prix,2026-11-22,F1,"Scenario intention, source-dated event occasion"
Portfolio to season end,Qatar Grand Prix,2026-11-29,F1,"Scenario intention, source-dated event occasion"
Portfolio to season end,Abu Dhabi Grand Prix,2026-12-06,F1,"Scenario intention, source-dated event occasion"
