rank,event,tier,event_start,final_date,final_date_basis,session,local_start,local_timezone,window_date,ist_start,timing_cells_passed,status,clash_check,continuity_trigger,offer,rights,timing_confidence,upcoming,score
1,Paris,Masters 1000,2026-11-02,2026-11-08,ATP calendar end date (O),Final,15:00 (modelled),Europe/Paris,2026-11-08,19:30,12/12,Campaign-ready: sell live,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 99 tournament pass at list,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,92.5
2,Turin,Finals,2026-11-15,2026-11-22,ATP calendar end date (O),Final,15:00 (modelled),Europe/Rome,2026-11-22,19:30,12/12,Campaign-ready: sell live,Football not checked (no 2026-27 fixture data captured),Season finale,INR 99 tournament pass at list,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,92.5
3,Halle,500,2026-06-15,2026-06-21,Official order of play (O),Final,15:30 (not before),Europe/Berlin,2026-06-21,19:00,12/12,Campaign-ready: sell live,No overlap found,Post-Slam follow-through: Roland Garros,INR 89 tournament pass at list,Covered: ATP Tour package (C),High: official order of play (O),False,88.0
4,London (Queen's),500,2026-06-15,2026-06-21,Weekly event rule (A),Final,15:00 (modelled),Europe/London,2026-06-21,19:30,12/12,Campaign-ready: sell live,No overlap found,Post-Slam follow-through: Roland Garros,INR 89 tournament pass at list,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,88.0
5,Rotterdam,500,2026-02-09,2026-02-15,Official order of play (O),Final,15:30 (not before),Europe/Amsterdam,2026-02-15,20:00,12/12,Campaign-ready: sell live,La Liga fixtures overlapping: 2,Post-Slam follow-through: Australian Open,INR 89 tournament pass at list,Covered: ATP Tour package (C),High: official order of play (O),False,80.5
6,Basel,500,2026-10-26,2026-11-01,ATP calendar end date (O),Final,15:00 (modelled),Europe/Zurich,2026-11-01,19:30,12/12,Campaign-ready: sell live,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 89 tournament pass at list,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,80.5
7,Vienna,500,2026-10-26,2026-11-01,ATP calendar end date (O),Final,15:00 (modelled),Europe/Vienna,2026-11-01,19:30,12/12,Campaign-ready: sell live,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 89 tournament pass at list,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,80.5
8,Madrid,Masters 1000,2026-04-22,2026-05-03,Official order of play (O),Final,17:00 (not before),Europe/Madrid,2026-05-03,20:30,12/12,Campaign-ready: sell live,La Liga fixtures overlapping: 2,No trigger,INR 99 tournament pass at list,Covered: ATP Tour package (C),High: official order of play (O),False,77.5
9,Rome,Masters 1000,2026-05-06,2026-05-17,Official order of play (O),Final,17:00 (not before),Europe/Rome,2026-05-17,20:30,12/12,Campaign-ready: sell live,La Liga fixtures overlapping: 9,No trigger,INR 99 tournament pass at list,Covered: ATP Tour package (C),High: official order of play (O),False,77.5
10,Montpellier,250,2026-02-02,2026-02-08,Weekly event rule (A),Final,15:00 (modelled),Europe/Paris,2026-02-08,19:30,12/12,Campaign-ready: sell live,La Liga fixtures overlapping: 3,Post-Slam follow-through: Australian Open,INR 79 tournament pass at list,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,71.5
11,Almaty,250,2026-10-19,2026-10-25,ATP calendar end date (O),Night session,19:00 (modelled),Asia/Almaty,2026-10-19,19:30,12/12,Campaign-ready: sell live,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 79 tournament pass at list,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,71.5
12,Brussels,250,2026-10-19,2026-10-25,ATP calendar end date (O),Final,15:00 (modelled),Europe/Brussels,2026-10-25,19:30,12/12,Campaign-ready: sell live,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 79 tournament pass at list,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,71.5
13,Lyon,250,2026-10-19,2026-10-25,ATP calendar end date (O),Final,15:00 (modelled),Europe/Paris,2026-10-25,19:30,12/12,Campaign-ready: sell live,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 79 tournament pass at list,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,71.5
14,Stockholm,250,2026-11-08,2026-11-14,ATP calendar end date (O),Final,15:00 (modelled),Europe/Stockholm,2026-11-14,19:30,12/12,Campaign-ready: sell live,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 79 tournament pass at list,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,71.5
15,Dubai,500,2026-02-23,2026-03-01,Weekly event rule (A),Night session,19:00 (modelled),Asia/Dubai,2026-02-23,20:30,12/12,Campaign-ready: sell live,La Liga fixtures overlapping: 3,No trigger,INR 89 tournament pass at list,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,65.5
16,Dubai,500,2026-02-23,2026-02-28,Official order of play (O),Final,19:00 (not before),Asia/Dubai,2026-02-28,20:30,12/12,Campaign-ready: sell live,La Liga fixtures overlapping: 3,No trigger,INR 89 tournament pass at list,Covered: ATP Tour package (C),High: official order of play (O),False,65.5
17,Eastbourne,250,2026-06-22,2026-06-27,Weekly event rule (A),Final,15:00 (modelled),Europe/London,2026-06-27,19:30,12/12,Campaign-ready: sell live,No overlap found,No trigger,INR 79 tournament pass at list,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,64.0
18,Estoril,250,2026-07-20,2026-07-26,Weekly event rule (A),Final,15:00 (modelled),Europe/Lisbon,2026-07-26,19:30,12/12,Campaign-ready: sell live,F1: Hungarian Grand Prix,Post-Slam follow-through: Wimbledon,INR 79 tournament pass at list,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,64.0
19,Marrakech,250,2026-03-30,2026-04-05,Official order of play (O),Final,15:00 (scheduled),Africa/Casablanca,2026-04-05,19:30,12/12,Campaign-ready: sell live,La Liga fixtures overlapping: 3,No trigger,INR 79 tournament pass at list,Covered: ATP Tour package (C),High: official order of play (O),False,56.5
20,Paris,Masters 1000,2026-11-02,2026-11-08,ATP calendar end date (O),Day session,14:00 (modelled),Europe/Paris,2026-11-02,18:30,11/12,Early evening: live with start reminder,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 99 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,89.2
21,Turin,Finals,2026-11-15,2026-11-22,ATP calendar end date (O),Day session,14:00 (modelled),Europe/Rome,2026-11-15,18:30,11/12,Early evening: live with start reminder,Football not checked (no 2026-27 fixture data captured),Season finale,INR 99 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,89.2
22,London (Queen's),500,2026-06-15,2026-06-21,Weekly event rule (A),Day session,14:00 (modelled),Europe/London,2026-06-15,18:30,11/12,Early evening: live with start reminder,No overlap found,Post-Slam follow-through: Roland Garros,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,84.7
23,Rotterdam,500,2026-02-09,2026-02-15,Weekly event rule (A),Day session,14:00 (modelled),Europe/Amsterdam,2026-02-09,18:30,11/12,Early evening: live with start reminder,La Liga fixtures overlapping: 2,Post-Slam follow-through: Australian Open,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,77.2
24,Basel,500,2026-10-26,2026-11-01,ATP calendar end date (O),Day session,14:00 (modelled),Europe/Zurich,2026-10-26,18:30,11/12,Early evening: live with start reminder,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",True,77.2
25,Vienna,500,2026-10-26,2026-11-01,ATP calendar end date (O),Day session,14:00 (modelled),Europe/Vienna,2026-10-26,18:30,11/12,Early evening: live with start reminder,Football not checked (no 2026-27 fixture data captured),Race to Turin,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",True,77.2
26,Estoril,250,2026-07-20,2026-07-26,Weekly event rule (A),Day session,14:00 (modelled),Europe/Lisbon,2026-07-20,18:30,11/12,Early evening: live with start reminder,No overlap found,Post-Slam follow-through: Wimbledon,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,75.7
27,Halle,500,2026-06-15,2026-06-21,Weekly event rule (A),Day session,14:00 (modelled),Europe/Berlin,2026-06-15,17:30,8/12,Early evening: live with start reminder,No overlap found,Post-Slam follow-through: Roland Garros,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,74.7
28,Monte-Carlo,Masters 1000,2026-04-05,2026-04-12,Weekly event rule (A),Final,15:00 (modelled),Europe/Monaco,2026-04-12,18:30,11/12,Early evening: live with start reminder,La Liga fixtures overlapping: 2,No trigger,INR 99 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,74.2
29,Barcelona,500,2026-04-13,2026-04-19,Weekly event rule (A),Final,15:00 (modelled),Europe/Madrid,2026-04-19,18:30,11/12,Early evening: live with start reminder,No overlap found,No trigger,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,69.7
30,Munich,500,2026-04-13,2026-04-19,Weekly event rule (A),Final,15:00 (modelled),Europe/Berlin,2026-04-19,18:30,11/12,Early evening: live with start reminder,No overlap found,No trigger,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Low: inherited date, modelled time (A)",False,69.7
31,Hamburg,500,2026-05-17,2026-05-23,Weekly event rule (A),Final,15:00 (modelled),Europe/Berlin,2026-05-23,18:30,11/12,Early evening: live with start reminder,No overlap found,No trigger,INR 89 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,69.7
32,Montpellier,250,2026-02-02,2026-02-08,Weekly event rule (A),Day session,14:00 (modelled),Europe/Paris,2026-02-02,18:30,11/12,Early evening: live with start reminder,La Liga fixtures overlapping: 1,Post-Slam follow-through: Australian Open,INR 79 tournament pass at list; reminder at start; replay for late joiners,Covered: ATP Tour package (C),"Medium: published date, modelled time (A)",False,68.2
