metric_id,source_id,value,unit,population,measurement_period,evidence_type,locator,limitations,source_url,raw_file
ibm_india_tennis,v3_ibm_sports_survey_2025,37,percent,"Unweighted online adult sports-fan sample in India, n=2,209",2025-06-23/2025-06-30,survey_estimate,PDFp60,"Marginal share, not overlap, payers or national population prevalence",https://filecache.mediaroom.com/mr5mr_ibmnewsroom/199459/IBM_Sport_Survey_Report_2025.pdf,data/raw/audience_reports/v3_ibm_sports_survey_2025__cf51c5136f14.pdf
ibm_india_soccer,v3_ibm_sports_survey_2025,60,percent,"Unweighted online adult sports-fan sample in India, n=2,209",2025-06-23/2025-06-30,survey_estimate,PDFp60,"Marginal share, not overlap, payers or national population prevalence",https://filecache.mediaroom.com/mr5mr_ibmnewsroom/199459/IBM_Sport_Survey_Report_2025.pdf,data/raw/audience_reports/v3_ibm_sports_survey_2025__cf51c5136f14.pdf
ibm_india_f1,v3_ibm_sports_survey_2025,22,percent,"Unweighted online adult sports-fan sample in India, n=2,209",2025-06-23/2025-06-30,survey_estimate,PDFp60,"Marginal share, not overlap, payers or national population prevalence",https://filecache.mediaroom.com/mr5mr_ibmnewsroom/199459/IBM_Sport_Survey_Report_2025.pdf,data/raw/audience_reports/v3_ibm_sports_survey_2025__cf51c5136f14.pdf
ibm_india_cricket,v3_ibm_sports_survey_2025,91,percent,"Unweighted online adult sports-fan sample in India, n=2,209",2025-06-23/2025-06-30,survey_estimate,PDFp60,"Marginal share, not overlap, payers or national population prevalence",https://filecache.mediaroom.com/mr5mr_ibmnewsroom/199459/IBM_Sport_Survey_Report_2025.pdf,data/raw/audience_reports/v3_ibm_sports_survey_2025__cf51c5136f14.pdf
yougov_tennis_2024,v3_yougov_cricket_2025,23,percent,"Page6 Nat Rep N approximately 30,000; headline urban India","2024, extracted January2025",survey_estimate,PDFp6 visually checked purple2024bar,"Different population from IBM, no averaging",https://commercial.yougov.com/rs/464-VHH-988/images/YouGov-India-Cricket-Fandom-Report-April-2025-new.pdf?content_name=Indian+cricket+fandom+report+2025&version=0,data/raw/audience_reports/v3_yougov_cricket_2025__c867a98c2e9b.pdf
ormax_2026_ott,v3_ormax_ott_2026,664.9,million people,Last-month free or paid online-video viewers,"June-July2026 survey, September10 release",publisher_estimate,Summary and numbered findings,"Not unique paying customers, sample n=15,000",https://www.ormaxmedia.com/insights/stories/the-ormax-ott-audience-report-2026.html,data/raw/audience_reports/v3_ormax_ott_2026__a5cc10dc9092.html
ormax_2026_subscriptions,v3_ormax_ott_2026,172.6,million subscriptions,Paid subscriptions used at least once in last month including bundles,"June-July2026 survey, September10 release",publisher_estimate,Summary and numbered findings,"Not unique paying customers, sample n=15,000",https://www.ormaxmedia.com/insights/stories/the-ormax-ott-audience-report-2026.html,data/raw/audience_reports/v3_ormax_ott_2026__a5cc10dc9092.html
ormax_2026_ctv,v3_ormax_ott_2026,206.9,million people,Connected TV audience,"June-July2026 survey, September10 release",publisher_estimate,Summary and numbered findings,"Not unique paying customers, sample n=15,000",https://www.ormaxmedia.com/insights/stories/the-ormax-ott-audience-report-2026.html,data/raw/audience_reports/v3_ormax_ott_2026__a5cc10dc9092.html
ey_2025_subscriptions,v3_ficci_ey_2026,216,million subscriptions,"Indian video OTT, EY estimates",2025 year-end excluding event spikes,industry_estimate,PDFp45,Different denominator from Ormax active subscriptions,https://creativefirst.film/wp-content/uploads/2026/03/FICCI-EY-Report-March-2026.pdf,data/raw/audience_reports/v3_ficci_ey_2026__be39d7e62768.pdf
ey_2025_households,v3_ficci_ey_2026,143,million households,"Indian video OTT, EY estimates",2025 year-end excluding event spikes,industry_estimate,PDFp45,Different denominator from Ormax active subscriptions,https://creativefirst.film/wp-content/uploads/2026/03/FICCI-EY-Report-March-2026.pdf,data/raw/audience_reports/v3_ficci_ey_2026__be39d7e62768.pdf
ey_2025_bundled_share,v3_ficci_ey_2026,71,percent subscriptions,"Indian video OTT, EY estimates",2025 year-end excluding event spikes,industry_estimate,PDFp45,Different denominator from Ormax active subscriptions,https://creativefirst.film/wp-content/uploads/2026/03/FICCI-EY-Report-March-2026.pdf,data/raw/audience_reports/v3_ficci_ey_2026__be39d7e62768.pdf
fancode_f1_engaged,v3_mint_fancode_f1,21,"million fans, greater than",Reported F1 engagement on FanCode,"January20 2026 publication, measurement window unspecified",reported_company_claim,Cofounder quote,"Not payers, active definition unknown",https://www.livemint.com/news/sports-creators-cultivating-followings-beyond-cricket-brands-swoop-in-basketball-volleyball-f1-chess-running-11768808839225.html?openSearch=true,data/raw/company/v3_mint_fancode_f1__f19258d17fb7.html
tennistv_india_iap_monthly,v3_tennistv_india_iap,449,INR per term,India App Store featured subscription,September14 2026 snapshot,observed_public_listing,Subscriptions section,Not web checkout or confirmed purchased entitlement,https://apps.apple.com/in/app/tennis-tv-live-streaming/id1114471030?platform=vision,data/raw/pricing/v3_tennistv_india_iap__5ff1a5e6cf87.html
tennistv_india_iap_six_monthly,v3_tennistv_india_iap,2500,INR per term,India App Store featured subscription,September14 2026 snapshot,observed_public_listing,Subscriptions section,Not web checkout or confirmed purchased entitlement,https://apps.apple.com/in/app/tennis-tv-live-streaming/id1114471030?platform=vision,data/raw/pricing/v3_tennistv_india_iap__5ff1a5e6cf87.html
tennistv_india_iap_annual,v3_tennistv_india_iap,4499,INR per term,India App Store featured subscription,September14 2026 snapshot,observed_public_listing,Subscriptions section,Not web checkout or confirmed purchased entitlement,https://apps.apple.com/in/app/tennis-tv-live-streaming/id1114471030?platform=vision,data/raw/pricing/v3_tennistv_india_iap__5ff1a5e6cf87.html
gateway_fee,v3_razorpay_pricing,2,percent of transaction plus GST,Standard public payment platform pricing,September14 2026 snapshot,external_vendor_rate,Pricing FAQ,"Enterprise rates differ, not FanCode supplier proof",https://razorpay.com/pricing/,data/raw/cost_benchmarks/v3_razorpay_pricing__e474532050c3.html
stream_delivery,v3_cloudflare_stream_pricing,1,"USD per 1,000 delivered minutes",CloudflareStream public list rate,Page updated September 8 2026,external_vendor_rate,Minutes of video delivered,"Not equivalent enterprise sports contract, buffering billable",https://developers.cloudflare.com/stream/pricing/,data/raw/cost_benchmarks/v3_cloudflare_stream_pricing__aed3418cdef6.html
stream_storage,v3_cloudflare_stream_pricing,5,"USD per month per 1,000 stored minutes",CloudflareStream storage,Page updated September 8 2026,external_vendor_rate,Minutes of video stored,Content minutes differ from watch minutes,https://developers.cloudflare.com/stream/pricing/,data/raw/cost_benchmarks/v3_cloudflare_stream_pricing__aed3418cdef6.html
whatsapp_marketing,v3_meta_inr_ratecard_jan2026,0.8631,INR per message,India recipient marketing template,"Effective January 1 2026, July vendor corroboration",mirrored_dated_ratecard,PDFp1,Not verified September all-in BSP bill,https://bulkymarketing.com/wp-content/uploads/2026/01/meta-price.pdf,data/raw/cost_benchmarks/v3_meta_inr_ratecard_jan2026__40f9aa9afe44.pdf
sms_quoted,v3_msg91_comparison,"[0.16, 0.25]",INR per SMS excluding GST,MSG91 rates reported by rival UDO,August20 2026,third_party_vendor_quote,Quickanswer and slabs,Not official table or negotiated FanCode cost,https://uniquedigitaloutreach.in/msg91-vs-udo-sms-pricing-full-cost-comparison/,data/raw/cost_benchmarks/v3_msg91_comparison__594ade4a77d0.html
meta_cpc_d2c,v3_nurdd_india,"[5, 18]",INR perclick,"Indian D2C categories, Meta prospecting",September12 2026,weak_external_proxy,Meta categorytable,"Envelope across categories, not paired funnel or FanCode",https://www.nurdd.club/blogs/paid-media-benchmarks-for-indian-d2c-brands-2026-cpm-cpc-ctr-and-roas-by-category,data/raw/cost_benchmarks/v3_nurdd_india__4ea1b57ff8ee.html
meta_cpm_d2c,v3_nurdd_india,"[70, 210]",INR per1000impressions,"Indian D2C categories, Meta prospecting",September12 2026,weak_external_proxy,Meta categorytable,"Campaign sample undisclosed, do not mix independent endpoints",https://www.nurdd.club/blogs/paid-media-benchmarks-for-indian-d2c-brands-2026-cpm-cpc-ctr-and-roas-by-category,data/raw/cost_benchmarks/v3_nurdd_india__4ea1b57ff8ee.html
google_cpc_d2c,v3_nurdd_india,"[10, 60]",INR perclick,Indian D2C nonbranded Googleads,September12 2026,weak_external_proxy,Google categorytable,Not sports keyword auction quote,https://www.nurdd.club/blogs/paid-media-benchmarks-for-indian-d2c-brands-2026-cpm-cpc-ctr-and-roas-by-category,data/raw/cost_benchmarks/v3_nurdd_india__4ea1b57ff8ee.html
referral_reward_1_25,v3_fancode_terms,25,INR voucher face value,Eligible referred friend purchase band 1_25,September14 2026 public terms,published_terms,Referral Reward Matrix,"Current availability, payout frequency, procurement cost and funding unknown",https://www.fancode.com/about/tnc,data/raw/pricing/v3_fancode_terms__f8543d68e219.html
referral_reward_26_75,v3_fancode_terms,75,INR voucher face value,Eligible referred friend purchase band 26_75,September14 2026 public terms,published_terms,Referral Reward Matrix,"Current availability, payout frequency, procurement cost and funding unknown",https://www.fancode.com/about/tnc,data/raw/pricing/v3_fancode_terms__f8543d68e219.html
referral_reward_76_199,v3_fancode_terms,150,INR voucher face value,Eligible referred friend purchase band 76_199,September14 2026 public terms,published_terms,Referral Reward Matrix,"Current availability, payout frequency, procurement cost and funding unknown",https://www.fancode.com/about/tnc,data/raw/pricing/v3_fancode_terms__f8543d68e219.html
referral_reward_200_plus,v3_fancode_terms,500,INR voucher face value,Eligible referred friend purchase band 200_plus,September14 2026 public terms,published_terms,Referral Reward Matrix,"Current availability, payout frequency, procurement cost and funding unknown",https://www.fancode.com/about/tnc,data/raw/pricing/v3_fancode_terms__f8543d68e219.html
revenuecat_d35_hq,v3_revenuecat_2026,1.4,"percent, median acrossapps","Developer HQ India+SoutheastAsia, mixed subscription apps","Target 2025, report 2026",external_cohort_proxy,Conversion rate by developer HQ,"Not Indian consumer or FanCode conversion, D35 install-to-paid",https://www.revenuecat.com/state-of-subscription-apps/,data/raw/audience_reports/v3_revenuecat_2026__664d7d57978b.html
revenuecat_monthly_renewal,v3_revenuecat_2026,46,"percent, median","India+SoutheastAsia user geography, mixed apps","2026 report, target 2025",external_cohort_proxy,Median subscription renewal by geography,"First monthly renewal, not annual retention or tennis",https://www.revenuecat.com/state-of-subscription-apps/,data/raw/audience_reports/v3_revenuecat_2026__664d7d57978b.html
f1_calendar_rounds,v3_jolpica_races_2026,23,scheduled rounds,F1 2026 current secondary feed,September14 2026 snapshot,source_structure_count,MRData.RaceTable.Races,"Includes revisions, not an actual-start log",https://api.jolpi.ca/ergast/f1/2026/races/,data/raw/schedules/v3_jolpica_races_2026__11a7c0be6996.json
isl_online_2025_26,v4_mint_isl_audience,5.79,million reported online viewers,ISL 2025/26 audience,2025/26 season,secondary_reported_audience,Paragraph beginning Viewership pattern,Underlying AIFF document and audience definition unavailable. Not FanCode paying subscribers or deduplicated reach.,https://www.livemint.com/mint-lounge/ideas/isl-indian-super-league-clubs-commercial-rights-media-bids-11786023505026.html,data/raw/audience_reports/v4_mint_isl_audience__e0c56ff99d53.html
